genotype	plant	side	leaf.disk	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all	area.mm2
S.neo LA0735 	5	abaxial	1	Aleksandra	31-Jan	10	130	10	0	0	140	12.56637061
S.neo LA0735 	5	abaxial	2	Aleksandra	31-Jan	7	119	7	0	0	126	12.56637061
S.neo LA0735 	1	adaxial	1	Aleksandra	01-Feb	11	46	3	0	8	57	12.56637061
S.neo LA0735 	1	adaxial	2	Aleksandra	01-Feb	16	52	3	0	13	68	12.56637061
S.neo LA0735 	1	abaxial	1	Aleksandra	01-Feb	7	122	7	0	0	129	12.56637061
S.neo LA0735 	1	abaxial	2	Aleksandra	01-Feb	18	144	18	0	0	162	12.56637061
S.neo LA0735 	2	adaxial	1	Ruy	01-Feb	19	29	19	0	0	48	12.56637061
S.neo LA0735 	2	adaxial	2	Ruy	01-Feb	16	20	2	0	14	36	12.56637061
S.neo LA0735 	2	abaxial	1	Ruy	01-Feb	11	26	8	0	3	37	12.56637061
S.neo LA0735 	2	abaxial	2	Ruy	01-Feb	11	40	6	0	4	51	12.56637061
S.hab PI127826 	3	adaxial	1	Marc	01-Feb	128	3	47	78	0	131	12.56637061
S.hab PI127826 	3	adaxial	2	Marc	01-Feb	92	2	41	51	0	94	12.56637061
S.hab PI127826 	3	abaxial	1	Marc	01-Feb	317	0	51	265	0	317	12.56637061
S.hab PI127826 	3	abaxial	2	Marc	01-Feb	212	1	59	153	0	213	12.56637061
S.hab PI127826 	5	adaxial	1	Ruy	01-Feb	153	10	63	76	14	163	12.56637061
S.hab PI127826 	5	adaxial	2	Ruy	01-Feb	192	24	67	110	15	216	12.56637061
S.hab PI127826 	5	abaxial	1	Ruy	01-Feb	166	2	36	126	4	168	12.56637061
S.hab PI127826 	5	abaxial	2	Ruy	01-Feb	213	4	60	144	9	217	12.56637061
S.hab PI127826 	1	adaxial	1	Ruy	02-Feb	124	28	54	68	2	152	12.56637061
S.hab PI127826 	1	adaxial	2	Ruy	02-Feb	166	30	98	60	8	196	12.56637061
S.hab PI127826 	1	abaxial	1	Ruy	02-Feb	194	13	46	148	0	207	12.56637061
S.hab PI127826 	1	abaxial	2	Ruy	02-Feb	179	11	75	104	0	190	12.56637061
